retailer,retailer language code
Glovo-Marjane-APP-MA,fr
Glovo-Marjane-MA,fr
Glovo-SuperGlovo-APP-ES,es
Gmarket-Korea-KR,ko
Gmarket-KR,ko
GoCart-PH,en
Gopuff-UK,en
Gopuff-US,en
Gorillas-APP-DE,de
Gorillas-APP-DK,da
Gorillas-APP-FR,fr
Gorillas-APP-NL,nl
Gorillas-APP-UK,en
GrabMart-PH,en
Grofers-IN,en
Gurkerl-AT,de
Haggen-US,en
Hannaford-US,en
HarrisTeeter-US,en
HeadsUpForTails-IN,en
HEB,en
HEB-Plus-US,en
Hebe-PL,pl
Heineken-UK,en
Hemkop-SE,sv
Hepsiburada-TR,tr
Hipercor-ES,es
Hiperdino-ES,es
Holland-Barrett,en
Home-Depot-CA,en
Home-Depot-US,en
Hoogvliet-NL,nl
Hyvee-US,en
ICA-Kvantum-SE,sv
ICA-Nara-SE,sv
ICA-SE,sv
ICA-Supermarket-SE,sv
Iceland,en
Ifood-BIG-Goiania-BR,pt
Ifood-Carrefour-RIO-BR,pt
Ifood-Cobasi-BR,pt
Ifood-Todo-Dia-Campina-Grande-BR,pt
IGA-AU,en
Iga-CA,en
Ingles-US,en
Instacart-Albertsons-US,en
Instacart-Aldi-US,en
Instacart-Costco-CA,en
Instacart-Costco-US,en
Instacart-CVS-US,en
Instacart-Food-Basics-CA,en
Instacart-Foodlion-US,en
Instacart-Giant-US,en
Instacart-GiantStores-US,en
Instacart-Hannaford-US,en
Instacart-Kroger-US,en
Instacart-Loblaws-CA,en
Instacart-Petco-US,en
Instacart-Publix-US,en
Instacart-Safeway-US,en
Instacart-SamsClub-US,en
Instacart-Sprouts-US,en
Instacart-TotalWineANDMore-US,en
Instacart-Walmart-CA,en
Instacart-Walmart-US,en
Instacart-Wegmans-US,en
Instacart-WoodmansFood-US,en
Instashop-APP-AE,ar
Intermarche-Drive-FR,fr
Ishop-New-World-NZ,en
Istegelsin-APP-TR,tr
Istegelsin-TR,tr
Jaya-Grocer-MY,en
JeanCoutu-EN-CA,en
Jegs-US,en
JewelOsco-US,en
Jiomart-IN,en
JJ-Foodservice-UK,en
John-Lewis,en
JohnBell-UK,en
Joker-NO,no
Jollyes-UK,en
Joueclub-FR,fr
Juguettos-ES,es
Jumbo-AR,es
Jumbo-CL,es
Jumbo-CO,es
Jumbo-NL,nl
Jumia-APP-MA,fr
Jumia-KE,en
Jumia-MA,ar
Jush!-APP-PL,pl
Justdogs-IN,en
JustEat-NL,nl
JustEat-UK,en
Kaufland-DE,de
Kaupat-Alepa-FI,fi
Kaupat-Prisma-FI,fi
Kaupat-Smarket-FI,fi
Kauppahalli24-FI,fi
Kenwoodworld,en
King-Jouet-FR,fr
Kings-Food-Market-US,en
KingSoopers-US,en
